City,dien_tich_m2,free_do_vs_ca_nhan,phong_tam,tien_ich_phong,ket_sat,toilet,working_table,khu_vuc_tiep_khach,TV,tu_lanh,dien_thoai,may_say_toc,lot_san,am_dun_nuoc,dich_vu_truyen_hinh,tu_quan_ao,view,cach_am,minibar,free_wifi,ghe_sofa,may_fax,bep_an,may_giat,ban_an,ui_quan_ao,giuong,balcony,executive_lounge,may_pha_tra_cf,may_say_quan_ao,connecting_room,chau_rua_vs_bidet,co_thang_may,ho_tro_xe_lan,may_vi_tinh,dieu_hoa,tien_ich_cho_tre_em,ho_boi,tien_ich_giai_tri,outdoor_area,phong_xong_hoi,be_suc,san_trong,price
TP.Ho Chi Minh,42,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,2,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2541000
TP.Ho Chi Minh,42,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,2,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,2541000
TP.Ho Chi Minh,42,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,2,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,3349500
TP.Ho Chi Minh,46,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,2,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3696000
TP.Ho Chi Minh,30,0,2,0,1,0,0,0,1,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1387526
TP.Ho Chi Minh,30,1,2,1,1,1,1,0,1,0,1,1,0,1,1,1,2,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1937371
TP.Ho Chi Minh,32,1,2,1,1,1,1,0,1,0,1,1,0,1,1,1,2,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2143893
TP.Ho Chi Minh,32,1,2,1,1,1,1,0,1,0,1,1,0,1,1,1,2,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1783393
TP.Ho Chi Minh,35,1,2,1,1,1,1,0,1,0,1,1,0,1,1,1,2,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2350416
TP.Ho Chi Minh,35,1,2,1,1,1,1,0,1,0,1,1,0,1,1,1,4,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2350416
TP.Ho Chi Minh,35,1,2,1,1,1,1,0,1,0,1,1,0,1,1,1,2,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2350416
TP.Ho Chi Minh,35,1,2,1,1,1,1,0,1,0,1,1,0,1,1,1,2,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2350416
TP.Ho Chi Minh,50,1,2,1,1,1,1,1,1,0,1,1,0,1,1,1,2,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4801644
TP.Ho Chi Minh,50,1,2,1,1,1,1,1,1,0,1,1,0,1,1,1,2,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4801644
TP.Ho Chi Minh,22,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,106020
TP.Ho Chi Minh,22,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,195300
TP.Ho Chi Minh,22,0,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,4,1,0,1,0,0,0,0,429660
